season,team_id,player_id,player,legacy_core_metric_count,legacy_core_rows,same_player_season_stage2_team_ids,legacy_core_minute_fields,target_metadata
2017-18,1610612745,1628935,Aaron Jackson,89,89,,"{""minutes_off"": [3916.0], ""minutes_on"": [34.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2018-04-11"", ""reason"": ""season_close"", ""start"": ""2018-04-11""}], ""minutes_on"": 34.5, ""player"": ""Aaron Jackson"", ""player_id"": ""1628935"", ""season"": ""2017-18"", ""seconds_on"": 2070.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612745, ""total_team_games"": 82}"
2018-19,1610612764,203895,Jordan McRae,89,89,,"{""minutes_off"": [3653.0], ""minutes_on"": [333.0]}","{""full_core_reuse"": true, ""intervals"": [{""end"": ""2019-04-10"", ""reason"": ""full_no_inseason_event"", ""start"": ""2018-10-16""}], ""minutes_on"": 332.8, ""player"": ""Jordan McRae"", ""player_id"": ""203895"", ""season"": ""2018-19"", ""seconds_on"": 19968.0, ""team_games_in_tenure"": 82, ""team_id"": 1610612764, ""total_team_games"": 82}"
2019-20,1610612739,1629731,Dean Wade,89,89,,"{""minutes_off"": [3074.0], ""minutes_on"": [71.0]}","{""full_core_reuse"": true, ""intervals"": [{""end"": ""2020-08-14"", ""reason"": ""full_no_inseason_event"", ""start"": ""2019-10-22""}], ""minutes_on"": 71.41666666666667, ""player"": ""Dean Wade"", ""player_id"": ""1629731"", ""season"": ""2019-20"", ""seconds_on"": 4285.0, ""team_games_in_tenure"": 65, ""team_id"": 1610612739, ""total_team_games"": 65}"
2021-22,1610612751,1630556,Kessler Edwards,89,89,,"{""minutes_off"": [2964.0], ""minutes_on"": [987.0]}","{""full_core_reuse"": true, ""intervals"": [{""end"": ""2022-04-10"", ""reason"": ""full_no_inseason_event"", ""start"": ""2021-10-19""}], ""minutes_on"": 987.1666666666666, ""player"": ""Kessler Edwards"", ""player_id"": ""1630556"", ""season"": ""2021-22"", ""seconds_on"": 59230.0, ""team_games_in_tenure"": 82, ""team_id"": 1610612751, ""total_team_games"": 82}"
2022-23,1610612751,1630564,RaiQuan Gray,89,89,,{},"{""full_core_reuse"": false, ""intervals"": [{""end"": ""2023-04-09"", ""reason"": ""season_close"", ""start"": ""2023-04-08""}], ""minutes_on"": 35.083333333333336, ""player"": ""RaiQuan Gray"", ""player_id"": ""1630564"", ""season"": ""2022-23"", ""seconds_on"": 2105.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612751, ""total_team_games"": 82}"
2022-23,1610612757,1628435,Chance Comanche,89,89,,{},"{""full_core_reuse"": false, ""intervals"": [{""end"": ""2023-04-09"", ""reason"": ""out_depart"", ""start"": ""2023-04-09""}], ""minutes_on"": 20.783333333333335, ""player"": ""Chance Comanche"", ""player_id"": ""1628435"", ""season"": ""2022-23"", ""seconds_on"": 1247.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612757, ""total_team_games"": 82}"
2022-23,1610612763,1631367,Jacob Gilyard,89,89,,{},"{""full_core_reuse"": false, ""intervals"": [{""end"": ""2023-04-09"", ""reason"": ""season_close"", ""start"": ""2023-04-08""}], ""minutes_on"": 40.78333333333333, ""player"": ""Jacob Gilyard"", ""player_id"": ""1631367"", ""season"": ""2022-23"", ""seconds_on"": 2447.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612763, ""total_team_games"": 82}"
2024-25,1610612738,1631120,JD Davison,89,89,,"{""minutes_off"": [3873.0], ""minutes_on"": [93.0]}","{""full_core_reuse"": true, ""intervals"": [{""end"": ""2025-04-13"", ""reason"": ""full_no_inseason_event"", ""start"": ""2024-10-22""}], ""minutes_on"": 92.9, ""player"": ""JD Davison"", ""player_id"": ""1631120"", ""season"": ""2024-25"", ""seconds_on"": 5574.0, ""team_games_in_tenure"": 82, ""team_id"": 1610612738, ""total_team_games"": 82}"
2024-25,1610612755,1630600,Isaiah Mobley,89,89,,"{""minutes_off"": [3944.0], ""minutes_on"": [17.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2025-04-13"", ""reason"": ""out_depart"", ""start"": ""2025-04-13""}], ""minutes_on"": 17.366666666666667, ""player"": ""Isaiah Mobley"", ""player_id"": ""1630600"", ""season"": ""2024-25"", ""seconds_on"": 1042.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612755, ""total_team_games"": 82}"
2025-26,1610612741,1631338,Mouhamadou Gueye,89,89,,{},"{""full_core_reuse"": false, ""intervals"": [{""end"": ""2026-04-12"", ""reason"": ""season_close"", ""start"": ""2026-04-09""}], ""minutes_on"": 45.44166666666667, ""player"": ""Mouhamadou Gueye"", ""player_id"": ""1631338"", ""season"": ""2025-26"", ""seconds_on"": 2726.5, ""team_games_in_tenure"": 3, ""team_id"": 1610612741, ""total_team_games"": 82}"
2025-26,1610612747,1641733,Nick Smith Jr.,89,89,,"{""minutes_off"": [3501.0], ""minutes_on"": [344.0]}","{""full_core_reuse"": true, ""intervals"": [{""end"": ""2026-04-12"", ""reason"": ""full_no_inseason_event"", ""start"": ""2025-10-21""}], ""minutes_on"": 374.87666666666667, ""player"": ""Nick Smith Jr."", ""player_id"": ""1641733"", ""season"": ""2025-26"", ""seconds_on"": 22492.6, ""team_games_in_tenure"": 82, ""team_id"": 1610612747, ""total_team_games"": 82}"
2025-26,1610612752,1641794,Dillon Jones,89,89,,"{""minutes_off"": [3828.0], ""minutes_on"": [27.0]}","{""full_core_reuse"": false, ""intervals"": [{""end"": ""2026-04-12"", ""reason"": ""season_close"", ""start"": ""2026-01-20""}], ""minutes_on"": 39.388333333333335, ""player"": ""Dillon Jones"", ""player_id"": ""1641794"", ""season"": ""2025-26"", ""seconds_on"": 2363.3, ""team_games_in_tenure"": 39, ""team_id"": 1610612752, ""total_team_games"": 82}"
2025-26,1610612762,1643060,Hayden Gray,89,89,,{},"{""full_core_reuse"": false, ""intervals"": [{""end"": ""2026-04-12"", ""reason"": ""season_close"", ""start"": ""2026-04-11""}], ""minutes_on"": 24.75, ""player"": ""Hayden Gray"", ""player_id"": ""1643060"", ""season"": ""2025-26"", ""seconds_on"": 1485.0, ""team_games_in_tenure"": 1, ""team_id"": 1610612762, ""total_team_games"": 82}"
