canonical_key,season,player_id,player,team_id,canonical_classification,interval_count,intervals_json,required_team_games,validated_exact_team_games_in_scope,missing_exact_team_games,missing_game_ids,expected_player_games,exact_player_games_current_union,player_game_deficit_current_union,fully_team_game_covered
2023-24|1631112|1610612754,2023-24,1631112,Kendall Brown,1610612754,partial,1,"[{""start"":""2024-03-03"",""end"":""2024-04-14"",""reason"":""season_close""}]",21,21,0,,15,15,0,True
2023-24|1631165|1610612758,2023-24,1631165,Keon Ellis,1610612758,partial,1,"[{""start"":""2024-02-09"",""end"":""2024-04-14"",""reason"":""season_close""}]",32,32,0,,57,57,0,True
2023-24|1631241|1610612761,2023-24,1631241,Javon Freeman-Liberty,1610612761,partial,1,"[{""start"":""2024-03-01"",""end"":""2024-04-14"",""reason"":""season_close""}]",23,23,0,,22,22,0,True
2023-24|1641774|1610612764,2023-24,1641774,Tristan Vukcevic,1610612764,partial,1,"[{""start"":""2024-03-13"",""end"":""2024-04-14"",""reason"":""season_close""}]",17,17,0,,10,10,0,True
2023-24|1641854|1610612739,2023-24,1641854,Craig Porter Jr.,1610612739,partial,1,"[{""start"":""2024-02-14"",""end"":""2024-04-14"",""reason"":""season_close""}]",30,30,0,,51,51,0,True
2023-24|1641871|1610612757,2023-24,1641871,Duop Reath,1610612757,partial,1,"[{""start"":""2024-02-16"",""end"":""2024-04-14"",""reason"":""season_close""}]",28,28,0,,68,68,0,True
2023-24|1641931|1610612741,2023-24,1641931,Onuralp Bitim,1610612741,partial,1,"[{""start"":""2024-02-23"",""end"":""2024-04-14"",""reason"":""season_close""}]",26,26,0,,23,23,0,True
2024-25|1630314|1610612742,2024-25,1630314,Brandon Williams,1610612742,partial,1,"[{""start"":""2025-04-10"",""end"":""2025-04-13"",""reason"":""season_close""}]",2,2,0,,33,33,0,True
2024-25|1630527|1610612740,2024-25,1630527,Brandon Boston,1610612740,partial,1,"[{""start"":""2025-02-25"",""end"":""2025-04-13"",""reason"":""season_close""}]",25,25,0,,42,42,0,True
2024-25|1630551|1610612764,2024-25,1630551,Justin Champagnie,1610612764,partial,1,"[{""start"":""2025-03-03"",""end"":""2025-04-13"",""reason"":""season_close""}]",23,23,0,,62,61,1,True
2024-25|1630643|1610612763,2024-25,1630643,Jay Huff,1610612763,partial,1,"[{""start"":""2024-10-28"",""end"":""2025-04-13"",""reason"":""season_close""}]",79,79,0,,64,64,0,True
2024-25|1631120|1610612738,2024-25,1631120,JD Davison,1610612738,partial,1,"[{""start"":""2025-04-13"",""end"":""2025-04-13"",""reason"":""season_close""}]",1,1,0,,16,16,0,True
2024-25|1631213|1610612751,2024-25,1631213,Tyrese Martin,1610612751,partial,1,"[{""start"":""2025-02-20"",""end"":""2025-04-13"",""reason"":""season_close""}]",28,28,0,,60,60,0,True
2024-25|1631217|1610612766,2024-25,1631217,Moussa Diabaté,1610612766,partial,1,"[{""start"":""2025-02-08"",""end"":""2025-04-13"",""reason"":""season_close""}]",33,33,0,,71,71,0,True
2024-25|1631230|1610612737,2024-25,1631230,Dominick Barlow,1610612737,partial,1,"[{""start"":""2025-03-04"",""end"":""2025-04-13"",""reason"":""season_close""}]",21,21,0,,35,35,0,True
2024-25|1641757|1610612746,2024-25,1641757,Jordan Miller,1610612746,partial,1,"[{""start"":""2025-03-01"",""end"":""2025-04-13"",""reason"":""season_close""}]",23,23,0,,37,37,0,True
2024-25|1642349|1610612760,2024-25,1642349,Ajay Mitchell,1610612760,partial,1,"[{""start"":""2025-02-06"",""end"":""2025-04-13"",""reason"":""season_close""}]",33,33,0,,36,36,0,True
2024-25|1642366|1610612744,2024-25,1642366,Quinten Post,1610612744,partial,1,"[{""start"":""2025-02-07"",""end"":""2025-04-13"",""reason"":""season_close""}]",31,31,0,,42,42,0,True
2024-25|1642403|1610612758,2024-25,1642403,Isaac Jones,1610612758,partial,1,"[{""start"":""2025-03-22"",""end"":""2025-04-13"",""reason"":""season_close""}]",13,13,0,,40,40,0,True
2024-25|1642419|1610612761,2024-25,1642419,Jamison Battle,1610612761,partial,1,"[{""start"":""2025-02-07"",""end"":""2025-04-13"",""reason"":""season_close""}]",31,31,0,,59,58,1,True
