boundary_reason,games_processed,minutes_on,needs_on,opponent_dreb_off,opponent_dreb_on,opponent_oreb_off,opponent_oreb_on,opponent_rebounds_off,opponent_rebounds_on,player,player_id,query_end_date,query_start_date,season,seconds_off,seconds_on,segment_count,segment_index,source,team_abbr,team_dreb_off,team_dreb_on,team_games_in_window,team_id,team_oreb_off,team_oreb_on,team_rebounds_off,team_rebounds_on,treb_off,treb_on,treb_swing_pp,lock_engine,lock_code_commit,minutes_off,oreb_pct_on,oreb_pct_off,oreb_swing_pp,dreb_pct_on,dreb_pct_off,dreb_swing_pp
season_close,68,65.35,False,2127,41,839,23,2966,64,Rick Brunson,1594,2001-04-18,2000-11-27,2000-01,194319,3921,1,1,roster_tenure_v2,NYK,2220,46,68,1610612752,744,22,2964,68,0.49983136593591904,0.5151515151515151,1.5320149215596102,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,3238.65,0.3492063492063492,0.25914315569487983,9.006319351146935,0.6666666666666666,0.7257273618829683,-5.9060695216301635
out_trade,54,139.46666666666667,False,1699,114,661,31,2360,145,Kornel David,1600,2001-02-22,2000-10-31,2000-01,149252,8368,1,1,roster_tenure_v2,TOR,1718,91,54,1610612761,848,44,2566,135,0.5209094600081202,0.48214285714285715,-3.876660286526307,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2487.5333333333333,0.27848101265822783,0.33294071456615626,-5.445970190792843,0.7459016393442623,0.7221521647751156,2.374947456914678
season_close,28,68.93333333333334,False,974,45,435,33,1409,78,Kornel David,1600,2001-04-18,2001-02-23,2000-01,77704,4136,1,1,roster_tenure_v2,DET,974,64,28,1610612765,455,20,1429,84,0.5035236081747709,0.5185185185185185,1.4994910343747558,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1295.0666666666666,0.3076923076923077,0.3184044786564031,-1.071217096409538,0.6597938144329897,0.6912704045422285,-3.1476590109238867
season_close,33,18.683333333333334,False,1106,17,495,11,1601,28,Art Long,1609,2001-04-18,2001-02-18,2000-01,96319,1121,1,1,roster_tenure_v2,SAC,1210,17,33,1610612758,463,4,1673,21,0.5109957238851558,0.42857142857142855,-8.242429531372725,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1605.3166666666666,0.19047619047619047,0.29509241555130655,-10.461622507511608,0.6071428571428571,0.7096774193548387,-10.253456221198165
season_close,8,148.5,False,174,99,65,50,239,149,Chris Garner,1612,2001-04-18,2001-04-06,2000-01,14130,8910,1,1,roster_tenure_v2,GSW,130,86,8,1610612744,125,70,255,156,0.5161943319838057,0.5114754098360655,-0.47189221477401677,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,235.5,0.41420118343195267,0.4180602006688963,-0.38590172369436515,0.6323529411764706,0.6666666666666666,-3.4313725490196068
out_trade,53,1306.2833333333333,False,851,840,305,370,1156,1210,Chris Childs,164,2001-02-22,2000-10-31,2000-01,76063,78377,1,1,roster_tenure_v2,NYK,851,887,53,1610612752,317,281,1168,1168,0.5025817555938038,0.4911690496215307,-1.1412705972273118,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1267.7166666666667,0.25066904549509367,0.2714041095890411,-2.073506409394743,0.705648369132856,0.736159169550173,-3.051080041731702
season_close,28,547.5333333333333,False,570,371,254,150,824,521,Chris Childs,164,2001-04-18,2001-02-23,2000-01,48988,32852,1,1,roster_tenure_v2,TOR,564,383,28,1610612761,256,186,820,569,0.49878345498783455,0.5220183486238532,2.3234893636018663,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,816.4666666666667,0.3339317773788151,0.3099273607748184,2.400441660399666,0.7185741088180112,0.6894865525672371,2.9087556250774083
out_trade,31,568.5666666666667,True,619,370,261,140,880,510,Larry Robinson,1683,2001-01-02,2000-10-31,2000-01,55166,34114,2,1,roster_tenure_v2,ATL,649,366,31,1610612737,277,161,926,527,0.512735326688815,0.5081967213114754,-0.4538605377339633,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,919.4333333333333,0.3032015065913371,0.3091517857142857,-0.5950279122948599,0.7233201581027668,0.7131868131868132,1.0133344915953635
out_depart,3,61.88333333333333,True,56,39,26,36,82,75,Larry Robinson,1683,2001-02-22,2001-02-15,2000-01,4927,3713,2,2,roster_tenure_v2,ATL,66,49,3,1610612737,25,16,91,65,0.5260115606936416,0.4642857142857143,-6.172584640792733,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,82.11666666666666,0.2909090909090909,0.30864197530864196,-1.7732884399551063,0.5764705882352941,0.717391304347826,-14.092071611253198
out_depart,1,1.45,False,27,1,23,0,50,1,Larry Robinson,1683,2001-01-05,2001-01-03,2000-01,2793,87,1,1,roster_tenure_v2,CLE,33,0,1,1610612739,13,0,46,0,0.4791666666666667,0.0,-47.91666666666667,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,46.55,0.0,0.325,-32.5,,0.5892857142857143,
