season,player_id,team_id,player,canonical_classification,current_selected_source_layer,covered_before_safe_lock,safe_lock_source_supplied,safe_lock_value_valid,newly_resolved_by_safe_lock,selected_source_layer_after_safe_lock,covered_after_safe_lock,team_oreb_on,team_dreb_on,opponent_oreb_on,opponent_dreb_on,team_oreb_off,team_dreb_off,opponent_oreb_off,opponent_dreb_off,seconds_on,seconds_off,games_processed,safe_treb_on,safe_treb_off,safe_treb_swing_pp,safe_lock_segment_rows,locked_treb_on,locked_treb_off,locked_treb_swing_pp,safe_vs_locked_on_diff_pp,safe_vs_locked_off_diff_pp,safe_vs_locked_swing_diff_pp,safe_vs_locked_max_abs_diff_pp,material_numeric_conflict_gt_0_01pp
2000-01,137,1610612742,Vernon Maxwell,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,72,209,85,195,205,656,270,636,17179,52241,24,0.5008912655971479,0.4872665534804754,1.3624712116672544,1,0.5008912655971479,0.4872665534804754,1.3624712116672544,0.0,0.0,0.0,0.0,False
2000-01,95,1610612742,Mark Bryant,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,23,67,30,74,787,2232,983,2217,6173,191167,68,0.4639175257731959,0.48544782119311786,-2.153029541992196,1,0.4639175257731959,0.48544782119311786,-2.153029541992196,0.0,0.0,0.0,0.0,False
2000-01,223,1610612742,Bill Curley,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,3,8,8,12,175,462,227,505,881,42319,15,0.3548387096774194,0.46530314097881664,-11.046443130139727,1,0.3548387096774194,0.46530314097881664,-11.046443130139727,0.0,0.0,0.0,0.0,False
2000-01,1918,1610612742,Obinna Ekezie,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,2,6,2,9,307,932,399,908,454,77606,27,0.42105263157894735,0.4866457187745483,-6.559308719560097,1,0.42105263157894735,0.4866457187745483,-6.559308719560097,0.0,0.0,0.0,0.0,False
2000-01,788,1610612743,Kevin Willis,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,317,738,332,762,334,805,315,796,63420,66480,45,0.49092601209865055,0.5062222222222222,-1.5296210123571685,1,0.49092601209865055,0.5062222222222222,-1.5296210123571685,0.0,0.0,0.0,0.0,False
2000-01,1721,1610612743,Keon Clark,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,231,520,260,533,310,755,286,786,45048,62412,37,0.48639896373056996,0.4983621899859616,-1.1963226255391646,1,0.48639896373056996,0.4983621899859616,-1.1963226255391646,0.0,0.0,0.0,0.0,False
2000-01,1110,1610612743,Mark Strickland,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,159,355,139,392,791,1993,840,1988,31190,165550,68,0.49186602870813395,0.49607982893799,-0.42138002298560684,1,0.49186602870813395,0.49607982893799,-0.42138002298560684,0.0,0.0,0.0,0.0,False
2000-01,924,1610612743,Anthony Goldwire,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,77,124,60,152,480,1155,474,1170,12002,97738,38,0.48668280871670705,0.4986276303751144,-1.1944821658407323,1,0.48668280871670705,0.4986276303751144,-1.1944821658407323,0.0,0.0,0.0,0.0,False
2000-01,145,1610612743,Tracy Murray,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,39,96,36,106,502,1179,510,1213,8086,99374,37,0.48736462093862815,0.49383078730904817,-0.6466166370420023,1,0.48736462093862815,0.49383078730904817,-0.6466166370420023,0.0,0.0,0.0,0.0,False
2000-01,2082,1610612743,Dan McClintock,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,32,33,12,44,97,195,94,211,3508,16652,7,0.5371900826446281,0.48911222780569513,4.807785483893295,1,0.5371900826446281,0.48911222780569513,4.807785483893295,0.0,0.0,0.0,0.0,False
2000-01,2123,1610612743,Garth Joseph,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,5,3,3,5,106,294,120,262,452,22588,8,0.5,0.5115089514066496,-1.1508951406649648,1,0.5,0.5115089514066496,-1.1508951406649648,0.0,0.0,0.0,0.0,False
2000-01,916,1610612744,Corie Blount,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,424,591,287,670,384,601,275,767,54999,57621,39,0.5147058823529411,0.48593981253083374,2.8766069822107387,1,0.5147058823529411,0.48593981253083374,2.8766069822107387,0.0,0.0,0.0,0.0,False
2000-01,219,1610612744,Vinny Del Negro,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,148,248,115,273,597,1137,483,1191,23712,101028,43,0.5051020408163265,0.5088028169014085,-0.37007760850820137,1,0.5051020408163265,0.5088028169014085,-0.37007760850820137,0.0,0.0,0.0,0.0,False
2000-01,2101,1610612744,Paul McPherson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,131,168,92,181,677,1024,470,1256,17172,95448,39,0.5227272727272727,0.49635249489349287,2.637477783377984,1,0.5227272727272727,0.49635249489349287,2.637477783377984,0.0,0.0,0.0,0.0,False
2000-01,223,1610612744,Bill Curley,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,71,113,48,109,384,680,309,744,10659,64521,26,0.5395894428152492,0.502598016060463,3.6991426754786283,2,0.5395894428152492,0.502598016060463,3.6991426754786283,0.0,0.0,0.0,0.0,False
2000-01,1612,1610612744,Chris Garner,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,70,86,50,99,125,130,65,174,8910,14130,8,0.5114754098360655,0.5161943319838057,-0.47189221477401677,1,0.5114754098360655,0.5161943319838057,-0.47189221477401677,0.0,0.0,0.0,0.0,False
2000-01,359,1610612744,Chucky Brown,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,24,54,12,53,97,206,77,228,4398,18642,8,0.5454545454545454,0.49835526315789475,4.709928229665067,1,0.5454545454545454,0.49835526315789475,4.709928229665067,0.0,0.0,0.0,0.0,False
2000-01,715,1610612744,John Coker,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,9,12,7,12,92,175,84,186,1475,15805,6,0.525,0.4972067039106145,2.779329608938552,1,0.525,0.4972067039106145,2.779329608938552,0.0,0.0,0.0,0.0,False
2000-01,2092,1610612744,Ruben Garces,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,18,15,4,7,253,470,200,559,677,42523,15,0.75,0.48785425101214575,26.214574898785425,1,0.75,0.48785425101214575,26.214574898785425,0.0,0.0,0.0,0.0,False
2000-01,988,1610612744,Randy Livingston,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,3,6,0,7,67,129,58,133,395,11125,4,0.5625,0.5064599483204134,5.604005167958659,1,0.5625,0.5064599483204134,5.604005167958659,0.0,0.0,0.0,0.0,False
