canonical_key,season,player_id,team_id,canonical_classification,evidence_classes,source_count,game_id_count,exact_accumulator_candidate,candidate_conflict,has_any_retained_evidence
2000-01|26|1610612752,2000-01,26,1610612752,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|270|1610612747,2000-01,270,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|271|1610612751,2000-01,271,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|275|1610612752,2000-01,275,1610612752,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|278|1610612757,2000-01,278,1610612757,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|280|1610612752,2000-01,280,1610612752,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|281|1610612749,2000-01,281,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|283|1610612749,2000-01,283,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|28|1610612763,2000-01,28,1610612763,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|296|1610612747,2000-01,296,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|297|1610612748,2000-01,297,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|299|1610612749,2000-01,299,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|29|1610612751,2000-01,29,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|302|1610612744,2000-01,302,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|304|1610612762,2000-01,304,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|317|1610612762,2000-01,317,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|323|1610612747,2000-01,323,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|324|1610612750,2000-01,324,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|330|1610612762,2000-01,330,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|339|1610612756,2000-01,339,1610612756,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|344|1610612765,2000-01,344,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|345|1610612759,2000-01,345,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|353|1610612753,2000-01,353,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|358|1610612756,2000-01,358,1610612756,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|361|1610612756,2000-01,361,1610612756,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|365|1610612754,2000-01,365,1610612754,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|369|1610612752,2000-01,369,1610612752,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
