season,source_type,ref,file,rows
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-000,player_game_treb_on,2078
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-001,team_game_treb,194
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-001,player_game_treb_on,1997
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-002,team_game_treb,196
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-002,player_game_treb_on,2005
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-003,team_game_treb,192
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-003,player_game_treb_on,1950
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-004,team_game_treb,194
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-004,player_game_treb_on,1970
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-005,team_game_treb,196
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-005,player_game_treb_on,1964
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-006,team_game_treb,194
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-006,player_game_treb_on,1939
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-007,team_game_treb,184
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-007,player_game_treb_on,1860
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-008,team_game_treb,194
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-008,player_game_treb_on,1915
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-009,team_game_treb,184
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-009,player_game_treb_on,1813
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-010,team_game_treb,184
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-010,player_game_treb_on,1857
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-011,team_game_treb,194
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-011,player_game_treb_on,1950
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-012,team_game_treb,56
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-012,player_game_treb_on,574
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-000,team_game_treb,190
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-000,player_game_treb_on,1966
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-001,team_game_treb,188
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-001,player_game_treb_on,1952
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-002,team_game_treb,190
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-002,player_game_treb_on,1987
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-003,team_game_treb,192
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-003,player_game_treb_on,1970
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-004,team_game_treb,188
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-004,player_game_treb_on,1925
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-005,team_game_treb,192
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-005,player_game_treb_on,1940
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-006,team_game_treb,192
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-006,player_game_treb_on,1950
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-007,team_game_treb,192
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-007,player_game_treb_on,1960
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-008,team_game_treb,186
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-008,player_game_treb_on,1922
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-009,team_game_treb,190
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-009,player_game_treb_on,1925
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-010,team_game_treb,188
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-010,player_game_treb_on,1868
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-011,team_game_treb,192
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-011,player_game_treb_on,1879
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-012,team_game_treb,58
2006-07,historical_exact_batch,refs/remotes/origin/treb-game-facts-2006-batch-012,player_game_treb_on,575
2006-07,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,team_game_treb,96
2006-07,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,player_game_treb_on,997
2006-07,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,team_game_treb,26
2006-07,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,player_game_treb_on,263
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-000,team_game_treb,196
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-000,player_game_treb_on,2038
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-001,team_game_treb,194
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-001,player_game_treb_on,2002
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-002,team_game_treb,194
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-002,player_game_treb_on,1972
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-003,team_game_treb,186
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-003,player_game_treb_on,1860
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-004,team_game_treb,190
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-004,player_game_treb_on,1890
