season,player_id,team_id,player,canonical_classification,locked_segment_count,locked_source_supplied,expected_team_games,exact_team_games,expected_player_games,exact_player_games,exact_full_core_sufficient,locked_source_superseded_by_exact,selected_source_layer,covered_after_this_overlay
2000-01,1760,1610612759,Derrick Dial,full_core,0,0,82,0,33,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1761,1610612742,Greg Buckner,full_core,0,0,82,0,37,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1763,1610612743,Ryan Bowen,full_core,0,0,82,0,57,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,178,1610612762,Olden Polynice,full_core,0,0,82,0,81,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,179,1610612738,Bryant Stith,full_core,0,0,82,0,78,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,180,1610612762,John Crotty,full_core,0,0,82,0,31,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1800,1610612763,Damon Jones,full_core,0,0,82,0,71,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1802,1610612741,Brad Miller,full_core,0,0,82,0,57,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,182,1610612765,Billy Owens,full_core,0,0,82,0,45,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,185,1610612758,Chris Webber,full_core,0,0,82,0,70,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1853,1610612748,Anthony Carter,full_core,0,0,82,0,72,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1863,1610612746,Earl Boykins,full_core,0,0,82,0,10,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1882,1610612741,Elton Brand,full_core,0,0,82,0,74,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1883,1610612745,Steve Francis,full_core,0,0,82,0,80,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1884,1610612766,Baron Davis,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1885,1610612746,Lamar Odom,full_core,0,0,82,0,76,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1886,1610612754,Jonathan Bender,full_core,0,0,82,0,58,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1887,1610612750,Wally Szczerbiak,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1888,1610612764,Richard Hamilton,full_core,0,0,82,0,78,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1889,1610612739,Andre Miller,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1890,1610612756,Shawn Marion,full_core,0,0,82,0,79,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1891,1610612737,Jason Terry,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1892,1610612739,Trajan Langdon,full_core,0,0,82,0,65,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1894,1610612746,Corey Maggette,full_core,0,0,82,0,69,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1895,1610612750,William Avery,full_core,0,0,82,0,55,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1897,1610612741,Metta World Peace,full_core,0,0,82,0,76,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1898,1610612737,Cal Bowdler,full_core,0,0,82,0,44,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1899,1610612743,James Posey,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,190,1610612748,Duane Causwell,full_core,0,0,82,0,31,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1900,1610612762,Quincy Lewis,full_core,0,0,82,0,35,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1901,1610612737,Dion Glover,full_core,0,0,82,0,57,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1902,1610612754,Jeff Foster,full_core,0,0,82,0,71,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1903,1610612745,Kenny Thomas,full_core,0,0,82,0,74,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1904,1610612747,Devean George,full_core,0,0,82,0,59,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1906,1610612766,Tim James,full_core,0,0,82,0,30,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1907,1610612744,Vonteego Cummings,full_core,0,0,82,0,66,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1908,1610612755,Jumaine Jones,full_core,0,0,82,0,65,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1909,1610612762,Scott Padgett,full_core,0,0,82,0,27,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1913,1610612741,Michael Ruffin,full_core,0,0,82,0,45,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1914,1610612738,Chris Herren,full_core,0,0,82,0,25,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1915,1610612751,Evan Eschmeyer,full_core,0,0,82,0,74,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1917,1610612742,Wang Zhi-zhi,full_core,0,0,82,0,5,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1919,1610612764,Laron Profit,full_core,0,0,82,0,35,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1924,1610612766,Lee Nailon,full_core,0,0,82,0,42,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1928,1610612755,Todd MacCulloch,full_core,0,0,82,0,63,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,193,1610612748,Anthony Mason,full_core,0,0,82,0,80,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1930,1610612754,Lari Ketner,full_core,0,0,82,0,3,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1944,1610612766,Eddie Robinson,full_core,0,0,82,0,67,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1956,1610612759,Ira Newble,full_core,0,0,82,0,27,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,198,1610612759,Danny Ferry,full_core,0,0,82,0,80,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1985,1610612746,Zendon Hamilton,full_core,0,0,82,0,3,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,201,1610612756,Chris Dudley,full_core,0,0,82,0,53,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2030,1610612751,Kenyon Martin,full_core,0,0,82,0,68,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2031,1610612763,Stromile Swift,full_core,0,0,82,0,80,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2032,1610612746,Darius Miles,full_core,0,0,82,0,81,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2033,1610612741,Marcus Fizer,full_core,0,0,82,0,72,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2034,1610612753,Mike Miller,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2035,1610612737,DerMarr Johnson,full_core,0,0,82,0,78,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
